goos: linux
goarch: amd64
pkg: hmcalister/opusbenchmark
cpu: AMD Ryzen 5 3600 6-Core Processor              
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	      13	  90249045 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	      13	  89130834 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	      13	  88716333 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     597	   2008727 ns/op	     825 B/op	     100 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     598	   1979365 ns/op	     824 B/op	     100 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     619	   1946996 ns/op	     824 B/op	     100 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     597	   2021253 ns/op	     825 B/op	     100 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     588	   2018961 ns/op	     825 B/op	     100 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     588	   2015423 ns/op	     824 B/op	     100 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     597	   2021186 ns/op	     824 B/op	     100 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     601	   2008821 ns/op	     824 B/op	     100 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     603	   1970182 ns/op	     824 B/op	     100 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     621	   1965192 ns/op	     824 B/op	     100 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      26	  45877264 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      25	  45543421 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      26	  45187367 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      26	  45682262 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      26	  45216474 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      25	  45433939 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      26	  45082986 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      26	  45112619 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      26	  45117757 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      26	  45097228 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	    1006	   1217297 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     986	   1198399 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     993	   1190815 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	    1017	   1185436 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	    1005	   1201169 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     996	   1205181 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     994	   1212474 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	    1006	   1202006 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	    1014	   1206156 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     979	   1231279 ns/op	      40 B/op	       2 allocs/op
