goos: linux
goarch: amd64
pkg: hmcalister/opusbenchmark
cpu: AMD Ryzen 5 3600 6-Core Processor              
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	     254	   4788060 ns/op	 3092144 B/op	    1822 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	       5	 205912316 ns/op	 2215040 B/op	    5997 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	       5	 207430466 ns/op	 2215040 B/op	    5997 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	       5	 203155440 ns/op	 2215020 B/op	    5997 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	       5	 206020477 ns/op	 2215043 B/op	    5997 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	       5	 206408063 ns/op	 2215024 B/op	    5997 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	       5	 208645707 ns/op	 2215040 B/op	    5997 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	       5	 203523000 ns/op	 2215020 B/op	    5997 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	       6	 200719289 ns/op	 2220645 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	       6	 199868346 ns/op	 2220664 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	       5	 204914002 ns/op	 2215043 B/op	    5997 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     150	   7952577 ns/op	 6962456 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     148	   8162228 ns/op	 6962457 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     144	   8215880 ns/op	 6962457 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     146	   8181785 ns/op	 6962448 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     144	   8343434 ns/op	 6962452 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     144	   8421949 ns/op	 6962452 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     144	   8251249 ns/op	 6962445 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     147	   8147994 ns/op	 6962455 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     147	   8119794 ns/op	 6962461 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	     147	   8125814 ns/op	 6962456 B/op	    5594 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      10	 103770157 ns/op	 2193276 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      10	 103824863 ns/op	 2193286 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      10	 103596412 ns/op	 2193276 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      10	 108268257 ns/op	 2193289 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      10	 108253260 ns/op	 2193276 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      10	 107032532 ns/op	 2193286 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      10	 108077799 ns/op	 2193276 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      10	 108213703 ns/op	 2193278 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      10	 106329620 ns/op	 2193288 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	      10	 102191924 ns/op	 2193286 B/op	    2998 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     218	   5435966 ns/op	 6272701 B/op	    2746 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     210	   5789001 ns/op	 6272699 B/op	    2746 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     217	   5479181 ns/op	 6272707 B/op	    2746 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     220	   5504876 ns/op	 6272703 B/op	    2746 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     217	   5417487 ns/op	 6272707 B/op	    2746 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     214	   5506675 ns/op	 6272707 B/op	    2746 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     218	   5387314 ns/op	 6272712 B/op	    2746 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     223	   5361253 ns/op	 6272708 B/op	    2746 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     224	   5396687 ns/op	 6272704 B/op	    2746 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_40000000-12         	     218	   5477585 ns/op	 6272707 B/op	    2746 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      12	 104299399 ns/op	 2235514 B/op	    1991 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      10	 103172119 ns/op	 2231456 B/op	    1990 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      10	 101618137 ns/op	 2231456 B/op	    1990 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      10	 102924180 ns/op	 2231467 B/op	    1991 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      10	 103464136 ns/op	 2231446 B/op	    1990 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      10	 103809455 ns/op	 2231448 B/op	    1990 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      10	 104030742 ns/op	 2231457 B/op	    1990 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      10	 104346191 ns/op	 2231448 B/op	    1990 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      10	 104578917 ns/op	 2231446 B/op	    1990 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      10	 102856146 ns/op	 2231446 B/op	    1990 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	     207	   5755567 ns/op	 6339395 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	     199	   5975136 ns/op	 6339382 B/op	    1822 allocs/op
